Id,Brand_Name,Generic_Name,Is_Opioid
100,Isosorbide Mononitrate,Isosorbide Mononitrate,
101,Pioglitazone-Glimepiride,Pioglitazone Hcl/Glimepiride,
102,Methylphenidate Hcl Cd,Methylphenidate Hcl,
103,Zyprexa,Olanzapine,
104,Sutent,Sunitinib Malate,
105,Tobramycin,Tobramycin,
106,Dasetta,Norethindrone-Ethinyl Estrad,
107,Carteolol Hcl,Carteolol Hcl,
108,Theophylline,Theophylline Anhydrous,
109,Mononessa,Norgestimate-Ethinyl Estradiol,
110,Gilenya,Fingolimod Hcl,
111,Rhinocort Aqua,Budesonide,
112,Rythmol,Propafenone Hcl,
113,Tasigna,Nilotinib Hcl,
114,Asacol,Mesalamine,
115,Paxil,Paroxetine Hcl,
116,Adacel Tdap,"Diph,pertuss(Acell),tet Vac/Pf",
117,Nortrel,Norethindrone-Ethinyl Estrad,
118,Naratriptan Hcl,Naratriptan Hcl,
119,Pen Needle,"Needles, Insulin Disposable",
120,Quinine Sulfate,Quinine Sulfate,
121,Sinemet 25-100,Carbidopa/Levodopa,
122,Trileptal,Oxcarbazepine,
123,Avastin,Bevacizumab,
124,Arcapta Neohaler,Indacaterol Maleate,
125,Foradil,Formoterol Fumarate,
126,Letairis,Ambrisentan,
127,Prolastin C,Alpha-1-Proteinase Inhibitor,
128,Oxymorphone Hcl,Oxymorphone Hcl,true
129,Tobradex,Tobramycin/Dexamethasone,
130,Lamictal Xr,Lamotrigine,
131,Neomycin-Polymyxin-Hc,Neomycin/Polymyxin B Sulf/Hc,
132,Tobramycin Sulfate,Tobramycin Sulfate,
133,Lescol,Fluvastatin Sodium,
134,Fluocinolone Acetonide,Fluocinolone/Shower Cap,
135,Catapres-Tts 3,Clonidine,
136,Lotensin,Benazepril Hcl,
137,Gildess,Norethindrone A-E Estradiol,
138,Lopid,Gemfibrozil,
139,Mestinon,Pyridostigmine Bromide,
140,Microgestin Fe,Noreth A-Et Estra/Fe Fumarate,
141,Apri,Desogestrel-Ethinyl Estradiol,
142,Gamunex-C,"Immune Glob,gam Caprylate(Igg)",
143,Invokana,Canagliflozin,
144,Zenchent,Norethindrone-Ethinyl Estrad,
145,Elinest,Norgestrel-Ethinyl Estradiol,
146,Bepreve,Bepotastine Besilate,
147,Somatuline Depot,Lanreotide Acetate,
148,Boostrix Tdap,"Diphth,pertuss(Acell),tet Vac",
149,Clozapine Odt,Clozapine,
150,Iclusig,Ponatinib Hcl,
151,Depakene,Valproic Acid,
152,Depakote Sprinkle,Divalproex Sodium,
153,Corgard,Nadolol,
154,Lidocaine Hcl,Lidocaine Hcl/Pf,
155,Colistimethate Sodium,Colistin (Colistimethate Na),
156,Nitro-Bid,Nitroglycerin,
157,Meclofenamate Sodium,Meclofenamate Sodium,
158,Kionex,Sodium Polystyrene Sulfonate,
159,Clinisol,Parenteral Amino Acid 15% No.1,
160,Hydrocodone-Homatropine Mbr,Hydrocodone Bit/Homatrop Me-Br,
161,Dyazide,Triamterene/Hydrochlorothiazid,
162,Naprelan,Naproxen Sodium,
163,Augmentin,Amoxicillin/Potassium Clav,
164,Sf,Sodium Fluoride,
165,Nicotrol,Nicotine,
166,Gemzar,Gemcitabine Hcl,
167,Caduet,Amlodipine/Atorvastatin,
168,Griseofulvin,"Griseofulvin, Microsize",
169,Dipentum,Olsalazine Sodium,
170,Tylenol-Codeine No.3,Acetaminophen With Codeine,true
171,Methotrexate Sodium,Methotrexate Sodium/Pf,
172,Axiron,Testosterone,
173,Norco,Hydrocodone/Acetaminophen,true
174,Benlysta,Belimumab,
175,Fosamax Plus D,Alendronate Sodium/Vitamin D3,
176,Dexpak,Dexamethasone,
177,Metipranolol,Metipranolol,
178,Actoplus Met Xr,Pioglitazone Hcl/Metformin Hcl,
179,Portia,Levonorgestrel-Eth Estradiol,
180,Inlyta,Axitinib,
181,Prinivil,Lisinopril,
182,Cetirizine Hcl,Cetirizine Hcl,
183,Prevident 5000 Sensitive,Sodium Fluoride/Pot Nitrate,
184,Luvox Cr,Fluvoxamine Maleate,
185,Pulmicort,Budesonide,
186,Monoject Insulin Syringe,"Syring W-Ndl,disp,insul,0.3ml",
187,Alcohol Swab,Alcohol Antiseptic Pads,
188,Carimune Nf Nanofiltered,"Immune Globulin,gamma(Igg)",
189,Cardura,Doxazosin Mesylate,
190,Minitran,Nitroglycerin,
191,Protriptyline Hcl,Protriptyline Hcl,
192,Junel,Norethindrone A-E Estradiol,
193,Erythrocin Stearate,Erythromycin Stearate,
194,Ortho Evra,Norelgestromin/Ethin.Estradiol,
195,Erivedge,Vismodegib,
196,Alcohol Wipes,Alcohol Antiseptic Pads,
197,Vgo 30,"Sub-Q Insulin Device, 30 Unit",
198,Vgo 40,"Sub-Q Insulin Device, 40 Unit",
199,Tolmetin Sodium,Tolmetin Sodium,
200,Calcium Gluconate,Calcium Gluconate,
201,Voriconazole,Voriconazole,
202,Actemra,Tocilizumab,
203,Lithostat,Acetohydroxamic Acid,
204,Methyldopa-Hydrochlorothiazide,Methyldopa/Hydrochlorothiazide,
205,Dermotic,Fluocinolone Acetonide Oil,
206,Folbee,Cyanocobalamin/Fa/Pyridoxine,
207,Omnaris,Ciclesonide,
208,Strovite One,"Mv,min #10/Fa/D3/Alip Acid/Lut",
209,Norethindrone,Norethindrone,
210,Quinidine Sulfate,Quinidine Sulfate,
211,Alomide,Lodoxamide Tromethamine,
212,Aranelle,Norethindrone-Ethinyl Estrad,
213,Sure-Ject Insulin Syringe,"Syring W-Ndl,disp,insul,0.3ml",
214,Metanx,Levomefolate/B6/B12/Algal Oil,
215,Neomycin-Polymyxin-Gramicidin,Neomycin/Polymyxn B/Gramicidin,
216,Hydrea,Hydroxyurea,
217,Gris-Peg,Griseofulvin Ultramicrosize,
218,Flarex,Fluorometholone Acetate,
219,Crixivan,Indinavir Sulfate,
220,Hydrocortisone-Acetic Acid,Acetic Acid/Hydrocortisone,
221,Zarah,Ethinyl Estradiol/Drospirenone,
222,Colestid,Colestipol Hcl,
223,Ritalin-Sr,Methylphenidate Hcl,
224,Fenoprofen Calcium,Fenoprofen Calcium,
225,Rena-Vite Rx,Vit B Cmplx 3/Fa/Vit C/Biotin,
226,Levaquin,Levofloxacin,
227,Emend,Fosaprepitant Dimeglumine,
228,Prednicarbate,Prednicarbate,
229,Kadcyla,Ado-Trastuzumab Emtansine,
230,Glassia,Alpha-1-Proteinase Inhibitor,
231,Trexall,Methotrexate Sodium,
232,Sodium Chloride,Sodium Chloride For Inhalation,
233,Rimantadine Hcl,Rimantadine Hcl,
234,Lite Touch,"Needles, Insulin Disposable",
235,Meperidine Hcl,Meperidine Hcl/Pf,true
236,Caziant,Desogestrel-Ethinyl Estradiol,
237,Oxacillin,"Oxacillin Sodium/Dextrose,iso",
238,Teveten Hct,Eprosartan/Hydrochlorothiazide,
239,Korlym,Mifepristone,
240,Metanx,Methyl-B12/L-Mefolate/B6 Phos,
241,Triglide,Fenofibrate Nanocrystallized,
242,Apokyn,Apomorphine Hcl,
243,Briellyn,Norethindrone-Ethinyl Estrad,
244,Zanaflex,Tizanidine Hcl,
245,Aminocaproic Acid,Aminocaproic Acid,
246,Metadate Cd,Methylphenidate Hcl,
247,Provera,Medroxyprogesterone Acetate,
248,Imitrex,Sumatriptan,
249,Dilt-Cd,Diltiazem Hcl,
250,Azurette,Desog-E.Estradiol/E.Estradiol,
251,Cyclogyl,Cyclopentolate Hcl,
252,Riluzole,Riluzole,
253,Zoladex,Goserelin Acetate,
254,Gammaked,"Immune Glob,gam Caprylate(Igg)",
255,Zelapar,Selegiline Hcl,
256,Cantil,Mepenzolate Bromide,
257,Methylphenidate Sr,Methylphenidate Hcl,
258,Ortho Micronor,Norethindrone,
259,Ixempra,Ixabepilone,
260,Sodium Chloride,Sodium Chloride,
261,Nutropin Aq,Somatropin,
262,Alprazolam Intensol,Alprazolam,
263,Vaseretic,Enalapril/Hydrochlorothiazide,
264,Ferrex 150 Forte,Iron Ps Cmplx/Vit B12/Fa,
265,Nexium I.V.,Esomeprazole Sodium,
266,Insulin Syringe,"Syring W-Ndl,disp,insul,0.5 Ml",
267,Breo Ellipta,Fluticasone/Vilanterol,
268,Dextroamphetamine Sulfate Er,Dextroamphetamine Sulfate,
269,Levemir Flextouch,Insulin Detemir,
270,Farxiga,Dapagliflozin Propanediol,
271,Alfuzosin Hcl Er,Alfuzosin Hcl,
272,Lite Touch,"Syringe & Needle,insulin,1 Ml",
273,Metaproterenol Sulfate,Metaproterenol Sulfate,
274,Monoject Insulin Syringe,"Syring W-Ndl,disp,insul,0.3 Ml",
275,Antipyrine-Benzocaine,Antipyrine/Benzocaine,
276,Levora-28,Levonorgestrel-Ethin Estradiol,
277,Uribel,Mth/Me Blue/Sod Phos/Phen/Hyos,
278,Retin-A Micro,Tretinoin Microspheres,
279,Magellan Insulin Safety Syrng,"Syringe,needle,insuln,safe,1ml",
280,Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,
281,Yaz,Ethinyl Estradiol/Drospirenone,
282,Juxtapid,Lomitapide Mesylate,
283,Vestura,Ethinyl Estradiol/Drospirenone,
284,Gamastan S-D,"Immune Globulin,gamma(Igg)",
285,Pirmella,Norethindrone-Ethinyl Estrad,
286,Carnitor Sf,Levocarnitine,
287,Myzilra,Levonorgestrel-Ethin Estradiol,
288,Entecavir,Entecavir,
289,Atovaquone,Atovaquone,
290,Pentam 300,Pentamidine Isethionate,
291,Tencon,Butalbital/Acetaminophen,
292,Preplus,"Pnv With Ca,no.72/Iron/Fa",
293,Eliphos,Calcium Acetate,
294,Matulane,Procarbazine Hcl,
295,Portia,Levonorgestrel-Ethin Estradiol,
296,Tetracycline Hcl,Tetracycline Hcl,
297,Dexmethylphenidate Hcl Er,Dexmethylphenidate Hcl,
298,Milrinone Lactate,Milrinone Lactate,
299,Amethyst,Levonorgestrel-Ethin Estradiol,
300,Lo Loestrin Fe,Norethindrone-E.Estradiol-Iron,
301,Sure-Ject Insulin Syringe,"Syring W-Ndl,disp,insul,0.5 Ml",
302,Incontrol,"Needles, Insulin Disposable",
303,Potassium Bicarbonate,Potassium Bicarbonate/Cit Ac,
304,Xulane,Norelgestromin/Ethin.Estradiol,
305,Fabrazyme,Agalsidase Beta,
306,Phentolamine Mesylate,Phentolamine Mesylate,
307,Ilaris,Canakinumab/Pf,
308,Ravicti,Glycerol Phenylbutyrate,
309,Acyclovir Sodium,Acyclovir Sodium,
310,Topiramate Er,Topiramate,
311,Spiriva Respimat,Tiotropium Bromide,
312,Tanzeum,Albiglutide,
313,Esbriet,Pirfenidone,
314,Ivermectin,Ivermectin,
315,Deblitane,Norethindrone,
316,Metadate Er,Methylphenidate Hcl,
317,Lopreeza,Estradiol/Norethindrone Acet,
318,Octagam,Immun Glob G(Igg)/Malt/Iga 50+,
319,Sharobel,Norethindrone,
320,Compro,Prochlorperazine,
321,Cefazolin,"Cefazolin Sodium/Dextrose,iso",
322,Gleostine,Lomustine,
323,Linezolid,Linezolid,
324,Autoshield Pen Needle,"Pen Needle, Diabetic, Safety",
325,Virt-Pn Plus,Pnv With Ca #68/Iron/Fa#1/Dha,
326,Viekira Pak,Ombita/Paritap/Riton/Dasabuvir,
327,Cerdelga,Eliglustat Tartrate,
328,Amphotericin B,Amphotericin B,
329,Vitafol-Ob+dha,Prenat Vit Comb.10/Iron/Fa/Dha,
330,Ultilet Insulin Syringe,"Syring W-Ndl,disp,insul,0.5 Ml",
331,Megace,Megestrol Acetate,
332,Mirvaso,Brimonidine Tartrate,
333,Nikki,Ethinyl Estradiol/Drospirenone,
334,Rosuvastatin Calcium,Rosuvastatin Calcium,
335,Neomycin-Polymyxin-Dexameth,Neomycin/Polymyxin B/Dexametha,
336,Solu-Cortef,Hydrocortisone Sodium Succ/Pf,
337,Peg 3350-Electrolyte,"Peg3350/Sod Sulf,bicarb,cl/Kcl",
338,Klor-Con Sprinkle,Potassium Chloride,
339,Monoject Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",
340,Saizen,Somatropin,
341,Ultra Comfort,"Syring-Needl,disp,insul,0.3 Ml",
342,Doxycycline Ir-Dr,Doxycycline Monohydrate,
343,Aristada,Aripiprazole Lauroxil,
344,Vyfemla,Norethindrone-Ethinyl Estrad,
345,Relnate Dha,Pnv 11/Iron Fum/Folic Acid/Om3,
346,Fluvastatin Er,Fluvastatin Sodium,
347,Zarxio,Filgrastim-Sndz,
348,Gildagia,Norethindrone-Ethinyl Estrad,
349,Fluconazole-Nacl,"Fluconazole In Nacl,iso-Osm",
350,Olmesartan-Hydrochlorothiazide,Olmesartan/Hydrochlorothiazide,
351,Neomycin-Bacitracin-Poly-Hc,Neomycin/Bacit/P-Myx/Hydrocort,
352,Ddavp,Desmopressin Acetate,
353,M-M-R Ii Vaccine,"Measles,mumps,rubella Vacc/Pf",
354,Evekeo,Amphetamine Sulfate,
355,Oxycodone Hcl-Ibuprofen,Ibuprofen/Oxycodone Hcl,true
356,Neomycin-Polymyxin B,Neomycin Sulf/Polymyxin B Sulf,
357,Maxidex,Dexamethasone,
358,Aerospan,Flunisolide,
359,Vitafol Ultra,Pnv#67/Iron Ps/Fa Cmb#1/Dha,
360,Zoledronic Acid,Zoledronic Acid/Mannitol-Water,
361,Prasugrel Hcl,Prasugrel Hcl,
362,Cortisporin,Neomyc/Bacit/Polymyx/Hydrocort,
363,Ingrezza,Valbenazine Tosylate,
364,Mytesi,Crofelemer,
365,Tobramycin,Tobramycin In 0.225% Sod Chlor,
366,Norpace,Disopyramide Phosphate,
367,Trimipramine Maleate,Trimipramine Maleate,
368,Neo-Polycin,Neomycin Sulf/Bacitracin/Poly,
369,Zembrace Symtouch,Sumatriptan Succinate,
370,Bupivacaine Hcl,Bupivacaine Hcl/Pf,
371,Colyte With Flavor Packets,"Peg3350/Sod Sulf,bicarb,cl/Kcl",
372,Eucrisa,Crisaborole,
373,Epiduo,Adapalene/Benzoyl Peroxide,
374,Citranatal 90 Dha,"Pnv72/Iron,gluc/Folic/Dss/Dha",
375,Sure-Fine Pen Needles,"Pen Needle, Diabetic",
376,Tri-Lo-Marzia,Norgestimate-Ethinyl Estradiol,
377,Fyavolv,Norethindrone Ac-Eth Estradiol,
378,Toujeo Max Solostar,"Insulin Glargine,hum.Rec.Anlog",
379,Veo Insulin Syringe,"Syringe And Needle,insulin,1ml",
380,Rhopressa,Netarsudil Mesylate,
381,Mavyret,Glecaprevir/Pibrentasvir,
382,Colesevelam Hcl,Colesevelam Hcl,
383,Verzenio,Abemaciclib,
384,Methylphenidate Hcl Er (Cd),Methylphenidate Hcl,
385,Milrinone In 5% Dextrose,Milrinone Lactate/D5w,
386,V-Go 30,"Sub-Q Insulin Device, 30 Unit",
387,Tdvax,"Tetanus, Diphtheria Tox,adult",
388,Erleada,Apalutamide,
389,Kevzara,Sarilumab,
390,Premasol,Parenteral Amino Acid 10% No.7,
391,Prednisolone Sodium Phosphate,Prednisolone Sodium Phosphate,
392,Vienva,Levonorgestrel-Ethin Estradiol,
393,Femynor,Norgestimate-Ethinyl Estradiol,
394,Strensiq,Asfotase Alfa,
395,Caretouch Alcohol Prep Pad,Alcohol Antiseptic Pads,
396,Rhofade,Oxymetazoline Hcl,
397,Yonsa,"Abiraterone Acet,submicronized",
398,Valproate Sodium,Valproic Acid (As Sodium Salt),
399,Caspofungin Acetate,Caspofungin Acetate,
400,"Alcohol,dehydrated",Ethyl Alcohol,
401,Betamethasone Diprop Augmented,Betamethasone Dipropionate,
402,Linezolid-D5w,Linezolid In Dextrose 5%,
403,Ixiaro,Japanese Encephalitis Vacc/Pf,
404,Litetouch Insulin Syringe,"Syringe And Needle,insulin,1ml",
405,Tecentriq,Atezolizumab,
406,Yervoy,Ipilimumab,
407,Syndros,Dronabinol,
408,Braftovi,Encorafenib,
409,Duzallo,Lesinurad/Allopurinol,
410,Junel Fe 24,Norethindrone-E.Estradiol-Iron,
411,Depacon,Valproic Acid (As Sodium Salt),
412,Insulin Lispro,Insulin Lispro,
413,Inveltys,Loteprednol Etabonate,
414,Novolin 70-30 Flexpen,Insulin Nph Hum/Reg Insulin Hm,
415,Alyq,Tadalafil,
416,Easy Glide Pen Needle,"Pen Needle, Diabetic",
417,Alyacen,Norethindrone-Ethin. Estradiol,
418,Fiasp,Insulin Aspart (Niacinamide),
419,Solosec,Secnidazole,
420,Vienva,Levonorgestrel/Ethin.Estradiol,
421,M-Natal Plus,"Pnv,calcium 72/Iron/Folic Acid",
422,Bosentan,Bosentan,
423,Keveyis,Dichlorphenamide,
424,Isopto Atropine,Atropine Sulfate,
425,Elite-Ob,Multivit-Min69/Iron/Folic Acid,
426,Bicnu,Carmustine,
427,Chorionic Gonadotropin,"Chorionic Gonadotropin, Human",
428,Insulin Syringe,"Syringe With Needle, Insulin",
429,Seebri Neohaler,Glycopyrrolate,
430,Palynziq,Pegvaliase-Pqpz,
431,Orfadin,Nitisinone,
432,Nutrilipid,Fat Emulsions,
433,Dupixent Syringe,Dupilumab,
434,Clinolipid,Fat Emulsion/Olive/Soy/Phospho,
435,Tiadylt Er,Diltiazem Hcl,
436,Egrifta Sv,Tesamorelin Acetate,
437,Darzalex Faspro,Daratumumab-Hyaluronidase-Fihj,
438,Ciprofloxacin-Dexamethasone,Ciprofloxacin Hcl/Dexameth,
439,Levonest,Levonorgestrel/Ethin.Estradiol,
440,Wakix,Pitolisant Hcl,
441,Thiola Ec,Tiopronin,
442,Breztri Aerosphere,Budesonide/Glycopyr/Formoterol,
443,Emtricitabine,Emtricitabine,
444,Vizimpro,Dacomitinib,
445,Inflectra,Infliximab-Dyyb,
446,Levoleucovorin Calcium,Levoleucovorin Calcium,
447,Philith,Norethindrone-Ethin. Estradiol,
448,Cotempla Xr-Odt,Methylphenidate,
449,Concept Dha,Mvn-Min75/Iron/Iron Ps/Om3/Dha,
450,Glucagon Emergency Kit,Glucagon,
451,Orgovyx,Relugolix,
452,Fluoridex,Fluoride (Sodium),
453,Brinzolamide,Brinzolamide,
454,Timolol Maleate,Timolol Maleate/Pf,
455,Novolog Penfill,Insulin Aspart,
456,Retevmo,Selpercatinib,
457,Qinlock,Ripretinib,
458,Seysara,Sarecycline Hcl,
459,Wera,Norethindrone-Ethin. Estradiol,
460,Zumandimine,Ethinyl Estradiol/Drospirenone,
461,Nulytely,Sodium Chloride/Nahco3/Kcl/Peg,
462,Bijuva,Estradiol/Progesterone,
463,Droplet Insulin Syringe,"Syring-Needl,disp,insul,0.3 Ml",
464,Inpen (For Humalog),Insulin Admin. Supplies,
465,Unifine Safecontrol,"Pen Needle,dual Safety,diabetc",
466,Hailey,Norethindrone Ac-Eth Estradiol,
467,Ibuprofen-Famotidine,Ibuprofen/Famotidine,
468,Verquvo,Vericiguat,
469,Formoterol Fumarate,Formoterol Fumarate,
470,Omnipod 5 G6 Pods (Gen 5),"Insulin Pump Cart,automated,bt",
471,Nexviazyme,Avalglucosidase Alfa-Ngpt,
472,Insulin Glargine Solostar,"Insulin Glargine,hum.Rec.Anlog",
473,Menquadfi,"Mening Vac A,c,y,w135,c-Tet/Pf",
474,Saizen-Saizenprep,Somatropin,
475,Licart,Diclofenac Epolamine,
476,Isosorbide Dinit-Hydralazine,Isosorbide Dinit/Hydralazine,
477,Saphnelo,Anifrolumab-Fnia,
478,Hailey 24 Fe,Norethindrone-E.Estradiol-Iron,
479,Enspryng,Satralizumab-Mwge,
480,Scemblix,Asciminib Hydrochloride,
481,Pemazyre,Pemigatinib,
482,Gavreto,Pralsetinib,
483,Poly-Iron 150 Forte,Iron Ps Cmplx/Vit B12/Fa,
484,Epifoam,Hydrocortisone/Pramoxine,
485,Pegintron,Peginterferon Alfa-2b,
486,Auvi-Q,Epinephrine,
487,Stimate,Desmopressin Acetate,
488,Phisohex,Hexachlorophene,
489,Precision,"Syringe & Needle,insulin,1 Ml",
490,Folotyn,Pralatrexate,
491,Phrenilin Forte,Butalbital/Acetaminophen,
492,Cipro,Ciprofloxacin,
493,Flolan,Epoprostenol Sodium (Glycine),
494,Trinatal Rx 1,Prenatal Vit27&calcium/Iron/Fa,
495,Ceftin,Cefuroxime Axetil,
496,Advocate Syringes,"Syring W-Ndl,disp,insul,0.3 Ml",
497,Minocin,Minocycline Hcl,
498,Acanya,Clindamycin Phos/Benzoyl Perox,
499,Lofibra,Fenofibrate,
500,Vinorelbine Tartrate,Vinorelbine Tartrate,
501,Thinpro Insulin Syringe,"Syringe And Needle,insulin,1ml",
502,Prenate Dha,Pnv #78/Iron Asp Gly/Fa#1/Dha,
503,Dobutamine Hcl In Dextrose,Dobutamine Hcl In Dextrose 5 %,
504,Vanishpoint,"Syringe-Needle,insulin,0.5 Ml",
505,Elite-Ob,Prenatal No.123/Iron/Folic Ac,
506,Acetazolamide Sodium,Acetazolamide Sodium,
507,Doxil,Doxorubicin Hcl Peg-Liposomal,
508,Trianex,Triamcinolone Acetonide,
509,Qnasl Children,Beclomethasone Dipropionate,
510,Sernivo,Betamethasone Dipropionate,
511,Afinitor Disperz,Everolimus,
512,Citranatal Bloom,"Iron Carb,gl/Fa/B12/C/Docusate",
513,Prenate Mini,Prenatal Vit 87/Iron/Folic/Dha,
514,Panretin,Alitretinoin,
515,Nascobal,Cyanocobalamin (Vitamin B-12),
516,Diacomit,Stiripentol,
517,Amondys-45,Casimersen,
518,Balversa,Erdafitinib,
519,Jornay Pm,Methylphenidate Hcl,
520,Luliconazole,Luliconazole,
521,Pure Comfort Pen Needle,"Pen Needle, Diabetic",
522,Ferocon,Fe Fumarate/Vit C/B12-If/Fa,
523,Proctocort,Hydrocortisone,
524,Moxatag,Amoxicillin,
525,Taxotere,Docetaxel,
526,Assure Id Insulin Safety,"Syringe,needle,insuln,safe,1ml",
527,Vitafol-One,Prenatal 26/Iron Ps/Folic/Dha,
528,Rabavert,Rabies Vaccine (Pcec)/Pf,
529,Bd Insulin Syringe Micro-Fine,"Syringe And Needle,insulin,1ml",
530,Omnipod,Subcutaneous Insulin Pump,
531,Zuplenz,Ondansetron,
532,Klisyri,Tirbanibulin,
533,Multivitamin With Fluoride,Pedi Multivit No.16 W-Fluoride,
534,Potassium Chloride In D5lr,Potassium Chloride In Lr-D5,
535,Doxylamine Succ-Pyridoxine Hcl,Doxylamine Succinate/Vit B6,
536,Auvelity,Dextromethorphan Hbr/Bupropion,
537,Timentin,Ticarcillin/K Clavulanate,
538,Lysteda,Tranexamic Acid,
539,Nephrocaps Qt,Vit B Complex & C No.13/Fa/D3,
540,Irospan,Iron Bisgly & Ps/Fa/B&c#12/Suc,
541,Camrese,L-Norgest/E.Estradion-E.Estrad,
542,Flagyl,Metronidazole,
543,Olux,Clobetasol Propionate,
544,Taron-C Dha,"Pnv 16/Iron Fum,ps/Folic/Om-3",
545,Myzilra,Levonorgestrel/Ethin.Estradiol,
546,Exkivity,Mobocertinib Succinate,
547,Ala-Cort,Hydrocortisone,
548,Ulticare,"Syrnge&needle,insln,1ml&sharps",
549,Cheratussin Ac,Guaifenesin/Codeine Phosphate,
550,Zatean-Pn Plus,Pnv With Ca #68/Iron/Fa#1/Dha,
551,Xylon 10,Hydrocodone/Ibuprofen,true
